Address,Balance
0x584c113e71fb416c263de21a8f33978cfa5843b9,149591.07
0x38e345bb05e73103c6d28f7718f3e4488d453399,148218.58
0xe5a3d77d7788a83f3549dd7f08fc2aced7e262d2,146989.26
0x29e95eb8b1ce9aeb4c645e7a218f851cced65d18,145367.14
0x312f81f9a90427f9967f476712795d55e3f89e9c,130995.28
0x04e9c8f75648602542c9f2d92f2c660f554b8c6e,127875.26
0x5b2a74b28c271800d743c8d9cb5edb145c32e718,125214.89
0x8399953ab01861d98ee2dcdee2147db3fdebfadb,123966.82
0x43e4c4552d024cd57e900329eff7cb6e365993a6,123330.28
0x5dedeb1ccc7241a0170d97353d746a203f23993f,121583.20
0x80b3153f39aeec1ef68adc038913698e103e6e1d,117279.93
0x7a87127f92db4be29ef99963230488a276bd1d7b,116938.07
0x5b6c9938ab5d4f0a80b7f6f146b8b155164f4dcf,110403.63
0x353b104e1c3a49f574ad32ca8d71e0ce8ee2ea28,104288.89
0x83cf51a12258848540e862d1ab8b2fe05518f716,103103.14
0x41126a23c108bdbab887a3b72bfa948f8cabd6d6,100017.01
0xa2c4bb632369274049e1751d3f1ac3ec47508216,98826.02
0xa5e8e69b620c988f8d784446a50f95e4bbc8441d,97840.75
0xadae0cdb5b7fdbcdb6094b80af96869abf8ad394,97228.03
0xe298378925d7ca64d45d5d0a88c2d6d85ceafd57,96493.81
0x1b228a002dc474c38f7e557b0c4229c24ef06750,92284.61
0x98edE5A956F7dd2D540A7872E5b7B9471bda20A3,91646.67
0x073aba73177668ba1c6661a4ccddbf77dfc8809a,90115.63
0x4bd60afe19f59247a807504739d51671c2778d1b,88674.77
0x49cc97653eefc84444a660f07a8547dea7ad87a8,87350.58
0x100e363333588d6832e9fb6d2d0092d75baef396,86410.29
0x6edb72a461d925fc6d58efa8fa329b9e6c461ca4,85195.10
0x3ef000bae3e8105be55f76fda784fd7d69cff30e,81303.56
0x4145b8a9b596981cafe78c20bf7a18466686a88d,80080.57
